@0	0a07
@1	0b0b
@2	0a04
@3	0008
@4	0209
@5	0801
@6	0805
@7	0a09
@8	090a
@9	0301
@a	030a
@b	0201
@c	0103
@d	0105
@e	0b0b
@f	0506
@10	0109
@11	0500
@12	0207
@13	0906
@14	0707
@15	000a
@16	0704
@17	0100
@18	0307
@19	0903
@1a	0b04
@1b	0601
@1c	0806
@1d	0101
@1e	000b
@1f	0b04
@20	010a
@21	000b
@22	0605
@23	0009
@24	0301
@25	0003
@26	060b
@27	0707
@28	0004
@29	0302
@2a	0907
@2b	0607
@2c	0008
@2d	0305
@2e	0207
@2f	0706
@30	0b08
@31	0208
@32	0206
@33	0604
@34	0304
@35	0a07
@36	0709
@37	0001
@38	0206
@39	040a
@3a	0a04
@3b	0802
@3c	0007
@3d	0602
@3e	0904
@3f	030a
@40	0501
@41	0a07
@42	070a
@43	0603
@44	0b01
@45	030a
@46	010b
@47	0b05
@48	0b06
@49	0a02
@4a	0401
@4b	0105
@4c	0a03
@4d	0803
@4e	0206
@4f	0a06
@50	0801
@51	0208
@52	0805
@53	0801
@54	0703
@55	0602
@56	0a04
@57	0402
@58	0b07
@59	0303
@5a	0703
@5b	0400
@5c	0b08
@5d	0a00
@5e	0707
@5f	0409
@60	0a0a
@61	0804
@62	070b
@63	0403
@64	0202
@65	0008
@66	0908
@67	0905
@68	0505
@69	0907
@6a	0908
@6b	0700
@6c	0207
@6d	0802
@6e	0a0b
@6f	0003
@70	0701
@71	0303
@72	0009
@73	0b09
@74	0a00
@75	0109
@76	0007
@77	0505
@78	0a0a
@79	0603
@7a	0705
@7b	0806
@7c	080b
@7d	0707
@7e	0608
@7f	0b09
